date,hour,open,high,low,close,real_volume,tick_volume,spread
2016.11.18,18:00:00,60490,60570,60365,60450,8971,1476,5
2016.11.18,17:50:00,60530,60540,60420,60490,5448,1487,5
2016.11.18,17:40:00,60405,60545,60400,60525,6465,2252,5
2016.11.18,17:30:00,60575,60600,60360,60410,13029,4322,5
2016.11.18,17:20:00,60535,60665,60455,60575,25653,8101,5
2016.11.18,17:10:00,60345,60555,60235,60540,18385,6193,5
2016.11.18,17:00:00,60485,60515,60265,60340,19294,5990,5
2016.11.18,16:50:00,60520,60590,60465,60490,10510,3447,5
2016.11.18,16:40:00,60535,60600,60440,60520,13200,4401,5
2016.11.18,16:30:00,60575,60600,60480,60540,11187,3999,5
2016.11.18,16:20:00,60545,60625,60480,60580,14680,4663,5
2016.11.18,16:10:00,60390,60590,60290,60530,21955,7430,5
2016.11.18,16:00:00,60485,60530,60290,60390,19995,6637,5
2016.11.18,15:50:00,60340,60520,60315,60485,17357,5903,5
2016.11.18,15:40:00,60305,60395,60260,60335,14105,4948,5
2016.11.18,15:30:00,60185,60415,60180,60305,31493,10081,5
2016.11.18,15:20:00,60100,60195,60080,60195,12024,3989,5
2016.11.18,15:10:00,60035,60135,59970,60105,14207,4923,5
2016.11.18,15:00:00,60230,60235,59990,60035,21254,7409,5
2016.11.18,14:50:00,60180,60245,60065,60230,17004,6213,5
2016.11.18,14:40:00,60080,60200,60035,60180,17165,5777,5
2016.11.18,14:30:00,60085,60105,59955,60080,13335,4891,5
2016.11.18,14:20:00,60095,60145,59950,60080,16530,6201,5
2016.11.18,14:10:00,60075,60150,59920,60090,22704,8482,5
2016.11.18,14:00:00,59890,60110,59840,60080,21964,8046,5
2016.11.18,13:50:00,59940,60065,59785,59885,27620,9786,5
2016.11.18,13:40:00,59905,59980,59850,59950,18712,6743,5
2016.11.18,13:30:00,60130,60130,59860,59910,30090,10652,5
2016.11.18,13:20:00,60135,60235,60025,60125,23214,8590,5
2016.11.18,13:10:00,60320,60360,60105,60135,27853,9740,5
2016.11.18,13:00:00,60525,60565,60265,60325,23537,8867,5
2016.11.18,12:50:00,60595,60750,60485,60525,21070,8433,5
2016.11.18,12:40:00,60700,60730,60525,60600,26114,9770,5
2016.11.18,12:30:00,60435,60725,60400,60700,31057,12115,5
2016.11.18,12:20:00,60540,60580,60370,60435,12553,5079,5
2016.11.18,12:10:00,60580,60680,60420,60540,19458,7480,5
2016.11.18,12:00:00,60365,60650,60365,60580,23134,8096,5
2016.11.18,11:50:00,60330,60460,60315,60370,9307,3737,5
2016.11.18,11:40:00,60370,60465,60290,60330,17148,6395,5
2016.11.18,11:30:00,60220,60420,60215,60375,22234,8285,5
2016.11.18,11:20:00,60050,60255,60020,60225,17052,6601,5
2016.11.18,11:10:00,60155,60360,60025,60055,28597,11027,5
2016.11.18,11:00:00,60305,60305,60125,60160,23495,8372,5
2016.11.18,10:50:00,60315,60475,60275,60305,16770,6417,5
2016.11.18,10:40:00,60435,60455,60245,60315,20028,6996,5
2016.11.18,10:30:00,60410,60565,60340,60430,18766,7134,5
2016.11.18,10:20:00,60305,60495,60250,60405,16269,6339,5
2016.11.18,10:10:00,60225,60400,60215,60305,21792,8157,5
2016.11.18,10:00:00,60100,60285,60085,60225,21544,8115,5
2016.11.18,9:50:00,60085,60125,59950,60110,14225,5553,5
2016.11.18,9:40:00,60085,60125,59985,60085,12876,4794,5
2016.11.18,9:30:00,60120,60155,60030,60085,12161,4624,5
2016.11.18,9:20:00,60005,60120,59965,60110,9927,4039,5
2016.11.18,9:10:00,59955,60030,59930,60005,8743,3266,5
2016.11.18,9:00:00,59890,59980,59760,59950,8321,3405,5
2016.11.17,18:00:00,60195,60305,60085,60280,7790,1519,5
2016.11.17,17:50:00,60325,60345,60140,60195,7040,2137,5
2016.11.17,17:40:00,60435,60485,60300,60330,8222,3190,5
2016.11.17,17:30:00,60385,60460,60340,60435,9990,3609,5
2016.11.17,17:20:00,60580,60610,60360,60385,16963,6027,5
2016.11.17,17:10:00,60615,60710,60500,60585,13827,5047,5
2016.11.17,17:00:00,60775,60780,60495,60610,31620,11716,5
2016.11.17,16:50:00,60910,60945,60760,60770,14426,5384,5
2016.11.17,16:40:00,60885,60955,60830,60905,15058,5428,5
2016.11.17,16:30:00,61100,61180,60860,60880,24339,8775,5
2016.11.17,16:20:00,61170,61185,61015,61100,16032,5818,5
2016.11.17,16:10:00,61160,61225,61075,61170,16528,6174,5
2016.11.17,16:00:00,61250,61300,61110,61155,10218,3992,5
2016.11.17,15:50:00,61205,61290,61140,61250,15390,5829,5
2016.11.17,15:40:00,61285,61325,61120,61205,16821,6540,5
2016.11.17,15:30:00,61345,61375,61155,61285,17878,6860,5
2016.11.17,15:20:00,61245,61420,61235,61340,15183,5843,5
2016.11.17,15:10:00,61170,61275,61075,61240,20514,7609,5
2016.11.17,15:00:00,61255,61355,61130,61170,19525,7029,5
2016.11.17,14:50:00,61385,61460,61230,61250,21421,7738,5
2016.11.17,14:40:00,61315,61405,61300,61385,11103,4046,5
2016.11.17,14:30:00,61225,61340,61190,61310,14513,5022,5
2016.11.17,14:20:00,61360,61435,61180,61230,19714,7168,5
2016.11.17,14:10:00,61400,61490,61275,61355,22952,7857,5
2016.11.17,14:00:00,61190,61445,61130,61390,22552,7647,5
2016.11.17,13:50:00,61270,61300,61055,61190,17845,6452,5
2016.11.17,13:40:00,61025,61310,60975,61270,22606,7888,5
2016.11.17,13:30:00,61130,61150,60835,61025,28335,10161,5
2016.11.17,13:20:00,61145,61165,61030,61130,15065,5767,5
2016.11.17,13:10:00,61350,61400,61105,61150,19897,7350,5
2016.11.17,13:00:00,61180,61415,61075,61345,27882,10032,5
2016.11.17,12:50:00,60965,61195,60885,61190,20530,8057,5
2016.11.17,12:40:00,61190,61325,60870,60960,31834,11995,5
