date,hour,open,high,low,close,real_volume,tick_volume,spread
2016.11.18,18:05:00,60495,60515,60365,60450,4519,668,5
2016.11.18,18:00:00,60490,60570,60430,60495,4452,808,5
2016.11.18,17:55:00,60475,60500,60420,60490,3565,739,5
2016.11.18,17:50:00,60530,60540,60475,60480,1883,748,5
2016.11.18,17:45:00,60500,60540,60455,60525,2874,1024,5
2016.11.18,17:40:00,60405,60545,60400,60490,3591,1228,5
2016.11.18,17:35:00,60435,60490,60360,60410,5379,1785,5
2016.11.18,17:30:00,60575,60600,60420,60440,7650,2537,5
2016.11.18,17:25:00,60545,60655,60490,60575,8493,2691,5
2016.11.18,17:20:00,60535,60665,60455,60535,17160,5410,5
2016.11.18,17:15:00,60290,60555,60270,60540,11834,4040,5
2016.11.18,17:10:00,60345,60395,60235,60295,6551,2153,5
2016.11.18,17:05:00,60340,60360,60265,60340,5622,1828,5
2016.11.18,17:00:00,60485,60515,60275,60345,13672,4162,5
2016.11.18,16:55:00,60550,60590,60465,60490,6886,2199,5
2016.11.18,16:50:00,60520,60570,60490,60550,3624,1248,5
2016.11.18,16:45:00,60485,60600,60485,60520,6428,2055,5
2016.11.18,16:40:00,60535,60550,60440,60490,6772,2346,5
2016.11.18,16:35:00,60520,60595,60500,60540,5389,1934,5
2016.11.18,16:30:00,60575,60600,60480,60520,5798,2065,5
2016.11.18,16:25:00,60550,60625,60505,60580,7266,2344,5
2016.11.18,16:20:00,60545,60600,60480,60555,7414,2319,5
2016.11.18,16:15:00,60390,60590,60360,60530,13169,4468,5
2016.11.18,16:10:00,60390,60425,60290,60385,8786,2962,5
2016.11.18,16:05:00,60440,60450,60290,60390,10816,3582,5
2016.11.18,16:00:00,60485,60530,60405,60445,9179,3055,5
2016.11.18,15:55:00,60335,60520,60315,60485,13417,4493,5
2016.11.18,15:50:00,60340,60370,60315,60335,3940,1410,5
2016.11.18,15:45:00,60295,60385,60260,60335,7167,2559,5
2016.11.18,15:40:00,60305,60395,60275,60300,6938,2389,5
2016.11.18,15:35:00,60340,60415,60300,60305,9697,3130,5
2016.11.18,15:30:00,60185,60390,60180,60330,21796,6951,5
2016.11.18,15:25:00,60135,60195,60090,60195,6558,2158,5
2016.11.18,15:20:00,60100,60170,60080,60140,5466,1831,5
2016.11.18,15:15:00,60030,60135,60025,60105,6969,2532,5
2016.11.18,15:10:00,60035,60040,59970,60030,7238,2391,5
2016.11.18,15:05:00,60170,60190,59990,60035,14543,5030,5
2016.11.18,15:00:00,60230,60235,60125,60170,6711,2379,5
2016.11.18,14:55:00,60175,60245,60065,60230,10551,3792,5
2016.11.18,14:50:00,60180,60225,60140,60175,6453,2421,5
2016.11.18,14:45:00,60190,60200,60125,60180,6253,2114,5
2016.11.18,14:40:00,60080,60195,60035,60190,10912,3663,5
2016.11.18,14:35:00,60000,60080,59970,60080,5172,2063,5
2016.11.18,14:30:00,60085,60105,59955,60000,8163,2828,5
2016.11.18,14:25:00,60000,60100,59950,60080,8890,3325,5
2016.11.18,14:20:00,60095,60145,60000,60000,7640,2876,5
2016.11.18,14:15:00,60030,60150,59920,60090,13798,5171,5
2016.11.18,14:10:00,60075,60090,59975,60025,8906,3311,5
2016.11.18,14:05:00,60045,60110,59980,60080,10708,3838,5
2016.11.18,14:00:00,59890,60055,59840,60050,11256,4208,5
2016.11.18,13:55:00,59950,59950,59785,59885,13755,4892,5
2016.11.18,13:50:00,59940,60065,59900,59950,13865,4894,5
2016.11.18,13:45:00,59955,59970,59885,59950,7018,2533,5
2016.11.18,13:40:00,59905,59980,59850,59950,11694,4210,5
2016.11.18,13:35:00,59990,60005,59860,59910,16353,5539,5
2016.11.18,13:30:00,60130,60130,59960,59990,13737,5113,5
2016.11.18,13:25:00,60130,60235,60100,60125,11669,4161,5
2016.11.18,13:20:00,60135,60190,60025,60135,11545,4429,5
2016.11.18,13:15:00,60330,60340,60105,60135,17130,5932,5
2016.11.18,13:10:00,60320,60360,60230,60330,10723,3808,5
2016.11.18,13:05:00,60515,60515,60265,60325,16361,5794,5
2016.11.18,13:00:00,60525,60565,60455,60510,7176,3073,5
2016.11.18,12:55:00,60635,60705,60485,60525,6983,3025,5
2016.11.18,12:50:00,60595,60750,60590,60640,14087,5408,5
2016.11.18,12:45:00,60590,60670,60525,60600,10036,3764,5
2016.11.18,12:40:00,60700,60730,60555,60595,16078,6006,5
2016.11.18,12:35:00,60505,60725,60445,60700,15762,6046,5
2016.11.18,12:30:00,60435,60580,60400,60505,15295,6069,5
2016.11.18,12:25:00,60470,60490,60370,60435,6360,2597,5
2016.11.18,12:20:00,60540,60580,60425,60470,6193,2482,5
2016.11.18,12:15:00,60630,60675,60420,60540,11595,4491,5
2016.11.18,12:10:00,60580,60680,60550,60635,7863,2989,5
2016.11.18,12:05:00,60600,60635,60530,60580,6901,2502,5
2016.11.18,12:00:00,60365,60650,60365,60600,16233,5594,5
2016.11.18,11:55:00,60425,60460,60340,60370,4739,1893,5
2016.11.18,11:50:00,60330,60430,60315,60425,4568,1844,5
2016.11.18,11:45:00,60400,60445,60290,60330,6655,2481,5
2016.11.18,11:40:00,60370,60465,60320,60400,10493,3914,5
2016.11.18,11:35:00,60390,60405,60285,60375,7378,2848,5
2016.11.18,11:30:00,60220,60420,60215,60385,14856,5437,5
2016.11.18,11:25:00,60155,60255,60100,60225,9262,3631,5
2016.11.18,11:20:00,60050,60185,60020,60155,7790,2970,5
2016.11.18,11:15:00,60230,60235,60025,60055,16000,6102,5
2016.11.18,11:10:00,60155,60360,60145,60225,12597,4925,5
2016.11.18,11:05:00,60205,60230,60125,60160,8136,2951,5
2016.11.18,11:00:00,60305,60305,60150,60210,15359,5421,5
2016.11.18,10:55:00,60415,60465,60305,60305,6062,2462,5
2016.11.18,10:50:00,60315,60475,60275,60415,10708,3955,5
2016.11.18,10:45:00,60360,60390,60245,60315,10142,3547,5
2016.11.18,10:40:00,60435,60455,60305,60355,9886,3449,5
2016.11.18,10:35:00,60530,60565,60405,60430,7526,2908,5
2016.11.18,10:30:00,60410,60545,60340,60540,11240,4226,5
2016.11.18,10:25:00,60425,60495,60380,60405,6026,2368,5
2016.11.18,10:20:00,60305,60475,60250,60425,10243,3971,5
2016.11.18,10:15:00,60310,60400,60215,60305,12891,4884,5
2016.11.18,10:10:00,60225,60370,60225,60310,8901,3273,5
2016.11.18,10:05:00,60225,60275,60150,60225,8151,3139,5
2016.11.18,10:00:00,60100,60285,60085,60230,13393,4976,5
2016.11.18,9:55:00,60025,60125,59970,60110,6717,2746,5
2016.11.18,9:50:00,60085,60100,59950,60025,7508,2807,5
2016.11.18,9:45:00,60035,60125,60020,60085,5403,2033,5
2016.11.18,9:40:00,60085,60095,59985,60025,7473,2761,5
2016.11.18,9:35:00,60120,60155,60055,60085,5870,2210,5
2016.11.18,9:30:00,60120,60145,60030,60120,6291,2414,5
2016.11.18,9:25:00,60015,60120,60015,60110,3985,1616,5
2016.11.18,9:20:00,60005,60070,59965,60020,5942,2423,5
2016.11.18,9:15:00,59970,60030,59935,60005,4064,1383,5
2016.11.18,9:10:00,59955,60010,59930,59970,4679,1883,5
2016.11.18,9:05:00,59950,59970,59900,59950,3233,1244,5
2016.11.18,9:00:00,59890,59980,59760,59955,5088,2161,5
2016.11.17,18:05:00,60210,60305,60165,60280,3316,704,5
2016.11.17,18:00:00,60195,60260,60085,60205,4474,815,5
2016.11.17,17:55:00,60265,60280,60140,60195,3402,899,5
2016.11.17,17:50:00,60325,60345,60245,60265,3638,1238,5
